#_____________________
#  T       s         P        epsilon
124.00 5.7178029985e-01 1.1638171370e+01 5.9262585811e+01
125.00 5.9877276969e-01 1.2223347520e+01 6.2623248691e+01
126.00 6.2699569062e-01 1.2836127038e+01 6.6165329980e+01
127.00 6.5650193259e-01 1.3477766653e+01 6.9897978786e+01
128.00 6.8734629225e-01 1.4149576921e+01 7.3830748487e+01
129.00 7.1958553946e-01 1.4852924178e+01 7.7973610412e+01
130.00 7.5327846388e-01 1.5589232536e+01 8.2336967768e+01
131.00 7.8848592142e-01 1.6359985926e+01 8.6931669780e+01
132.00 8.2527088069e-01 1.7166730189e+01 9.1769026063e+01
133.00 8.6369846926e-01 1.8011075206e+01 9.6860821205e+01
134.00 9.0383601979e-01 1.8894697089e+01 1.0221932956e+02
135.00 9.4575311591e-01 1.9819340402e+01 1.0785733025e+02
136.00 9.8952163794e-01 2.0786820437e+01 1.1378812232e+02
137.00 1.0352158082e+00 2.1799025534e+01 1.2002554019e+02
138.00 1.0829122360e+00 2.2857919446e+01 1.2658396913e+02
139.00 1.1326899625e+00 2.3965543745e+01 1.3347836104e+02
140.00 1.1846305046e+00 2.5124020281e+01 1.4072425037e+02
141.00 1.2388178992e+00 2.6335553677e+01 1.4833777011e+02
142.00 1.2953387461e+00 2.7602433868e+01 1.5633566808e+02
143.00 1.3542822509e+00 2.8927038692e+01 1.6473532319e+02
144.00 1.4157402676e+00 3.0311836511e+01 1.7355476202e+02
145.00 1.4798073395e+00 3.1759388882e+01 1.8281267535e+02
146.00 1.5465807411e+00 3.3272353269e+01 1.9252843493e+02
147.00 1.6161605176e+00 3.4853485791e+01 2.0272211030e+02
148.00 1.6886495254e+00 3.6505644016e+01 2.1341448574e+02
149.00 1.7641534701e+00 3.8231789789e+01 2.2462707726e+02
150.00 1.8427809457e+00 4.0034992101e+01 2.3638214976e+02
151.00 1.9246434714e+00 4.1918429998e+01 2.4870273419e+02
152.00 2.0098555283e+00 4.3885395521e+01 2.6161264479e+02
153.00 2.0985345954e+00 4.5939296691e+01 2.7513649641e+02
